player_id,player_name,season,team_abbr,team_next,salary_usd,salary_next,real_salary_change,draft_round,experience,cy_A_up,cy_A_down,cy_B_offseason,cy_B_trade,cy_C,contract_year,cy_exogenous
flynnma01,Malachi Flynn,2024,3TM,,3873024.0,,,1.0,4.0,,,,1,0,,
fontesi01,Simone Fontecchio,2023,UTA,2TM,3205128.0,3044872.0,-0.1359190041341103,,1.0,0,0,,0,0,,
fontesi01,Simone Fontecchio,2024,2TM,,3044872.0,,,,2.0,,,,1,0,,
forbebr01,Bryn Forbes,2017,SAS,SAS,543471.0,1312611.0,1.2933779552106115,,1.0,1,0,0,0,0,1,0
forbebr01,Bryn Forbes,2018,SAS,SAS,1312611.0,3125000.0,1.3153329520109396,,2.0,1,0,0,0,0,1,0
forbebr01,Bryn Forbes,2019,SAS,SAS,3125000.0,2875000.0,-0.14071494042163157,,3.0,0,0,0,0,0,0,0
forbebr01,Bryn Forbes,2020,SAS,MIL,2875000.0,2337145.0,-0.18708000000000002,,4.0,0,0,1,0,0,1,1
forbebr01,Bryn Forbes,2021,MIL,2TM,2337145.0,4500000.0,0.8688966933063975,,5.0,1,0,,0,0,1,
forbebr01,Bryn Forbes,2022,2TM,MIN,4500000.0,2298385.0,-0.5359050139225725,,6.0,,,,1,0,,
forbebr01,Bryn Forbes,2023,MIN,,2298385.0,,,,7.0,,,,0,0,,
forretr01,Trent Forrest,2021,UTA,UTA,470690.0,463211.0,-0.0447823646348221,,1.0,0,0,0,0,0,0,0
forretr01,Trent Forrest,2022,UTA,ATL,463211.0,508891.0,-0.0017426473455153246,,2.0,0,0,1,0,0,1,1
forretr01,Trent Forrest,2023,ATL,ATL,508891.0,1112933.0,0.9891843835852057,,3.0,1,0,0,0,0,1,0
forretr01,Trent Forrest,2024,ATL,,1112933.0,,,,4.0,,,,0,0,,
fournev01,Evan Fournier,2016,ORL,ORL,2288204.0,17000000.0,4.526658089801082,1.0,4.0,1,0,0,0,0,1,0
fournev01,Evan Fournier,2017,ORL,ORL,17000000.0,17000000.0,-0.05045408678102925,1.0,5.0,0,0,0,0,0,0,0
fournev01,Evan Fournier,2018,ORL,ORL,17000000.0,17000000.0,-0.027477919528949957,1.0,6.0,0,0,0,0,0,0,0
fournev01,Evan Fournier,2019,ORL,ORL,17000000.0,17150000.0,-0.05775327546233888,1.0,7.0,0,0,0,0,0,0,0
fournev01,Evan Fournier,2020,ORL,2TM,17150000.0,17150000.0,0.0,1.0,8.0,0,0,,0,0,,
fournev01,Evan Fournier,2021,2TM,NYK,17150000.0,17142857.0,-0.02976370381706328,1.0,9.0,,,,1,0,,
fournev01,Evan Fournier,2022,NYK,NYK,17142857.0,18000000.0,-0.04591753449070335,1.0,10.0,0,0,0,0,0,0,0
fournev01,Evan Fournier,2023,NYK,2TM,18000000.0,18857143.0,-0.04712884432189535,1.0,11.0,0,0,,0,0,,
fournev01,Evan Fournier,2024,2TM,,18857143.0,,,1.0,12.0,,,,1,0,,
foxde01,De'Aaron Fox,2018,SAC,SAC,4609200.0,5470920.0,0.15434142595042033,1.0,1.0,0,0,0,0,0,0,0
foxde01,De'Aaron Fox,2019,SAC,SAC,5470920.0,6392760.0,0.091383715581699,1.0,2.0,0,0,0,0,0,0,0
foxde01,De'Aaron Fox,2020,SAC,SAC,6392760.0,8099627.0,0.2670000125141565,1.0,3.0,1,0,0,0,1,1,1
foxde01,De'Aaron Fox,2021,SAC,SAC,8099627.0,28103500.0,2.367858451011742,1.0,4.0,1,0,0,0,0,1,0
foxde01,De'Aaron Fox,2022,SAC,SAC,28103500.0,30351780.0,-0.018658043654001588,1.0,5.0,0,0,0,0,0,0,0
foxde01,De'Aaron Fox,2023,SAC,SAC,30351780.0,32600060.0,-0.02306644880174291,1.0,6.0,0,0,0,0,0,0,0
foxde01,De'Aaron Fox,2024,SAC,,32600060.0,,,1.0,7.0,,,,0,0,,
foyera01,Randy Foye,2016,2TM,BRK,3135000.0,2500000.0,-0.40678669914085763,1.0,10.0,,,,1,0,,
foyera01,Randy Foye,2017,BRK,,2500000.0,,,1.0,11.0,,,,0,0,,
fraziti01,Tim Frazier,2016,2TM,NOP,989216.0,2090000.0,0.5716779871026063,,1.0,,,,1,0,,
fraziti01,Tim Frazier,2017,NOP,WAS,2090000.0,2000000.0,-0.09134362371390359,,2.0,0,0,1,0,0,1,1
fraziti01,Tim Frazier,2018,WAS,2TM,2000000.0,1832107.0,-0.109117744357213,,3.0,0,0,,0,0,,
fraziti01,Tim Frazier,2019,2TM,,1832107.0,,,,4.0,,,,1,0,,
freemja01,Javon Freeman-Liberty,2024,TOR,,849324.0,,,,1.0,,,,0,0,,
fryech01,Channing Frye,2016,2TM,CLE,8193029.0,7806971.0,-0.29116281757046314,1.0,11.0,,,,1,0,,
fryech01,Channing Frye,2017,CLE,2TM,7806971.0,7420912.0,-0.09740965324994577,1.0,12.0,0,0,,0,0,,
fryech01,Channing Frye,2018,2TM,CLE,7420912.0,2393887.0,-0.6862773786223848,1.0,13.0,,,,1,0,,
fryech01,Channing Frye,2019,CLE,,2393887.0,,,1.0,14.0,,,,0,0,,
fultzma01,Markelle Fultz,2020,ORL,ORL,9745200.0,16500000.0,0.6931412387636988,1.0,3.0,1,0,0,0,1,1,1
fultzma01,Markelle Fultz,2023,ORL,ORL,16500000.0,17000000.0,-0.06287878787878798,1.0,6.0,0,0,0,0,0,0,0
