birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1997-06-17,Hopkins,us,coffeam01,,Amir Coffey,USA,0
1988-10-13,Dayton,us,coleno01,,Norris Cole,USA,0
1987-08-23,Rancho Cucamonga,us,collida01,,Darren Collison,USA,0
1997-09-23,Layton,us,collijo01,,John Collins,USA,0
1991-10-03,Provo,us,colliky01,,Kyle Collinsworth,USA,0
1980-10-26,Orange City,us,collini01,,Nick Collison,USA,0
1997-11-19,Las Vegas,us,colliza01,,Zach Collins,USA,0
1987-10-11,Fayetteville,us,conlemi01,,Mike Conley,USA,0
1993-01-06,Arlington,us,connapa01,,Pat Connaughton,USA,0
1993-03-23,Washington,us,cookqu01,,Quinn Cook,USA,0
1997-09-23,St. Louis,us,cookty01,,Tyler Cook,USA,0
1984-03-17,Orange,us,copelch01,,Chris Copeland,USA,0
2004-07-26,Saint-Cloud,fr,coulibi01,,Bilal Coulibaly,France,1
2001-08-03,Durham,us,councri01,,Ricky Council IV,USA,0
1990-08-13,Mobile,us,couside01,,DeMarcus Cousins,USA,0
1990-12-14,Bellwood,us,covinro01,,Robert Covington,USA,0
1992-04-09,Los Angeles,us,crabbal01,,Allen Crabbe,USA,0
1990-12-19,Columbia,us,craigto01,,Torrey Craig,USA,0
1980-03-20,Seattle,us,crawfja01,,Jamal Crawford,USA,0
1990-07-06,Villa Rica,us,crowdja01,,Jae Crowder,USA,0
1999-02-20,Dallas,us,culveja01,,Jarrett Culver,USA,0
2001-09-25,Arlington,us,cunnica01,,Cade Cunningham,USA,0
1987-04-22,Clinton,us,cunnida01,,Dante Cunningham,USA,0
1991-05-22,Oakland,us,cunnija01,,Jared Cunningham,USA,0
1990-08-23,Charlotte,us,curryse01,,Seth Curry,USA,0
1988-03-14,Akron,us,curryst01,,Stephen Curry,USA,0
2003-03-17,Bendigo,au,daniedy01,,Dyson Daniels,Australia,1
1991-07-15,Roanoke,us,danietr01,,Troy Daniels,USA,0
1993-03-11,Chicago,us,davisan02,,Anthony Davis,USA,0
1996-12-02,Muskegon,us,davisde01,,Deyonta Davis,USA,0
1989-06-05,Washington,us,davised01,,Ed Davis,USA,0
2002-02-27,La Crosse,us,davisjo06,,Johnny Davis,USA,0
1997-05-16,Southaven,us,daviste02,,Terence Davis,USA,0
1989-08-12,Lancaster,us,dedmode01,,Dewayne Dedmon,USA,0
