player_clean,player_name,player_slug_hh,season,salary_usd
jaylen nowell,Jaylen Nowell,jaylen-nowell,2022,1782621.0
isaiah roby,Isaiah Roby,isaiah-roby,2022,1782621.0
bruno fernando,Bruno Fernando,bruno-fernando,2022,1782621.0
nicolas claxton,Nicolas Claxton,nicolas-claxton,2022,1782621.0
vlatko cancar,Vlatko Cancar,vlatko-cancar,2022,1782621.0
dean wade,Dean Wade,dean-wade,2022,1782621.0
cody martin,Cody Martin,cody-martin,2022,1782621.0
jalen mcdaniels,Jalen McDaniels,jalen-mcdaniels,2022,1782621.0
kevin porter,Kevin Porter,kevin-porter,2022,1782621.0
chimezie metu,Chimezie Metu,chimezie-metu,2022,1762796.0
yuta watanabe,Yuta Watanabe,yuta-watanabe,2022,1762796.0
armoni brooks,Armoni Brooks,armoni-brooks,2022,1739065.0
keita bates diop,Keita Bates-Diop,keita-bates-diop,2022,1729217.0
isaac bonga,Isaac Bonga,isaac-bonga,2022,1729217.0
sviatoslav mykhailiuk,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk,2022,1729217.0
thanasis antetokounmpo,Thanasis Antetokounmpo,thanasis-antetokounmpo,2022,1729217.0
moritz wagner,Moritz Wagner,moritz-wagner,2022,1729217.0
isaiah hartenstein,Isaiah Hartenstein,isaiah-hartenstein,2022,1729217.0
juan toscano anderson,Juan Toscano-Anderson,juan-toscano-anderson,2022,1701593.0
oshae brissett,Oshae Brissett,oshae-brissett,2022,1701593.0
herb jones,Herb Jones,herb-jones,2022,1700000.0
gabriel deck,Gabriel Deck,gabriel-deck,2022,1690507.0
max strus,Max Strus,max-strus,2022,1669178.0
gabe vincent,Gabe Vincent,gabe-vincent,2022,1669178.0
matt thomas,Matt Thomas,matt-thomas,2022,1669178.0
gary payton,Gary Payton II,gary-payton-ii,2022,1669178.0
javonte green,Javonte Green,javonte-green,2022,1669178.0
robert woodard,Robert Woodard,robert-woodard,2022,1619015.0
lance stephenson,Lance Stephenson,lance-stephenson,2022,1614825.0
deividas sirvydis,Deividas Sirvydis,deividas-sirvydis,2022,1603559.0
daniel oturu,Daniel Oturu,daniel-oturu,2022,1603559.0
kevin pangos,Kevin Pangos,kevin-pangos,2022,1569178.0
bismack biyombo,Bismack Biyombo,bismack-biyombo,2022,1518213.0
paul reed,Paul Reed,paul-reed,2022,1517981.0
vernon carey,Vernon Carey,vernon-carey,2022,1517981.0
anthony gill,Anthony Gill,anthony-gill,2022,1517981.0
tre jones,Tre Jones,tre-jones,2022,1517981.0
